"","TrajectoryType","lhs","op","rhs","est.std","se","pvalue","ci.lower","ci.upper","call"
"1","Full","ChildExtraversionSlope","~","MomExtraversionSlope:InferredMomAgeW1",-0.160149856340442,0.215836205436471,0.458089042590332,-0.583181045555713,0.26288133287483,"ChildExtraversionSlope ~ MomExtraversionSlope + InferredMomAgeW1 + MomExtraversionSlope:InferredMomAgeW1"
"2","Full","ChildExtraversionSlope","~","DadExtraversionSlope:InferredDadAgeW1",-0.272136154662133,0.290519761892156,0.34890174972998,-0.841544424767911,0.297272115443644,"ChildExtraversionSlope ~ DadExtraversionSlope + InferredDadAgeW1 + DadExtraversionSlope:InferredDadAgeW1"
"3","Full","MomExtraversionSlope","~","DadExtraversionSlope:InferredDadAgeW1",-0.264505624626487,0.251090511480525,0.292145151882154,-0.756633983988056,0.227622734735082,"MomExtraversionSlope ~ DadExtraversionSlope + InferredDadAgeW1 + DadExtraversionSlope:InferredDadAgeW1"
"4","Full","DadExtraversionSlope","~","MomExtraversionSlope:InferredMomAgeW1",-0.0539043211835634,0.228397728980873,0.813424322142277,-0.501555644136814,0.393747001769687,"DadExtraversionSlope ~ MomExtraversionSlope + InferredMomAgeW1 + MomExtraversionSlope:InferredMomAgeW1"
"5","Full","ChildExtraversionSlope","~","MomAgreeablenessSlope:InferredMomAgeW1",0.49794341753587,0.226292593433678,0.0277756476242141,0.054418084437696,0.941468750634043,"ChildExtraversionSlope ~ MomAgreeablenessSlope + InferredMomAgeW1 + MomAgreeablenessSlope:InferredMomAgeW1"
"6","Full","ChildExtraversionSlope","~","DadAgreeablenessSlope:InferredDadAgeW1",-0.267055964091348,0.21556494951683,0.215395337604224,-0.689555501473529,0.155443573290833,"ChildExtraversionSlope ~ DadAgreeablenessSlope + InferredDadAgeW1 + DadAgreeablenessSlope:InferredDadAgeW1"
"7","Full","MomExtraversionSlope","~","DadAgreeablenessSlope:InferredDadAgeW1",-0.170212007209501,0.258864538403507,0.510838183115911,-0.67757717935496,0.337153164935959,"MomExtraversionSlope ~ DadAgreeablenessSlope + InferredDadAgeW1 + DadAgreeablenessSlope:InferredDadAgeW1"
"8","Full","DadAgreeablenessSlope","~","MomExtraversionSlope:InferredMomAgeW1",-0.0956732544831416,0.21991781137349,0.663532700931423,-0.526704244334055,0.335357735367771,"DadAgreeablenessSlope ~ MomExtraversionSlope + InferredMomAgeW1 + MomExtraversionSlope:InferredMomAgeW1"
"9","Full","ChildExtraversionSlope","~","MomConscientiousnessSlope:InferredMomAgeW1",-0.0504432115892721,0.290429869276923,0.862113297917659,-0.619675295406717,0.518788872228173,"ChildExtraversionSlope ~ MomConscientiousnessSlope + InferredMomAgeW1 + MomConscientiousnessSlope:InferredMomAgeW1"
"10","Full","ChildExtraversionSlope","~","DadConscientiousnessSlope:InferredDadAgeW1",0.415688269086497,0.28339710672383,0.142429132244371,-0.139759853415064,0.971136391588059,"ChildExtraversionSlope ~ DadConscientiousnessSlope + InferredDadAgeW1 + DadConscientiousnessSlope:InferredDadAgeW1"
